[2026-06-01 10:02:36.451310] DNS SPOOF DETECTED | Domain: memex-pa.googleapis.com. | Trusted IP: 216.239.32.223 | Received IP: 2001:4860:4802:38::223
[2026-06-01 10:02:36.451879] DNS SPOOF DETECTED | Domain: memex-pa.googleapis.com. | Trusted IP: 216.239.32.223 | Received IP: 2001:4860:4802:38::223
[2026-06-01 10:02:36.495466] DNS SPOOF DETECTED | Domain: securitydomain-pa.googleapis.com. | Trusted IP: 2001:4860:4802:36::223 | Received IP: 216.239.32.223
[2026-06-01 10:02:36.499139] DNS SPOOF DETECTED | Domain: securitydomain-pa.googleapis.com. | Trusted IP: 2001:4860:4802:36::223 | Received IP: 216.239.32.223
[2026-06-01 10:02:37.298449] DNS SPOOF DETECTED | Domain: play.google.com. | Trusted IP: 142.250.206.14 | Received IP: 2404:6800:4007:810::200e
[2026-06-01 10:02:37.298850] DNS SPOOF DETECTED | Domain: play.google.com. | Trusted IP: 142.250.206.14 | Received IP: 2404:6800:4007:810::200e
[2026-06-01 10:02:37.304394] DNS SPOOF DETECTED | Domain: play.google.com. | Trusted IP: 142.250.206.14 | Received IP: 142.250.182.78
[2026-06-01 10:02:37.304507] DNS SPOOF DETECTED | Domain: play.google.com. | Trusted IP: 142.250.206.14 | Received IP: 142.250.182.78
[2026-06-01 10:02:37.535231] DNS SPOOF DETECTED | Domain: update.googleapis.com. | Trusted IP: 142.250.77.110 | Received IP: 2404:6800:4007:80f::200e
[2026-06-01 10:02:37.543487] DNS SPOOF DETECTED | Domain: update.googleapis.com. | Trusted IP: 142.250.77.110 | Received IP: 2404:6800:4007:80f::200e
[2026-06-01 10:02:37.546673] DNS SPOOF DETECTED | Domain: update.googleapis.com. | Trusted IP: 142.250.77.110 | Received IP: 142.250.77.142
[2026-06-01 10:02:37.553511] DNS SPOOF DETECTED | Domain: update.googleapis.com. | Trusted IP: 142.250.77.110 | Received IP: 142.250.77.142
[2026-06-01 10:02:38.300402] DNS SPOOF DETECTED | Domain: ssl.gstatic.com. | Trusted IP: 172.217.24.195 | Received IP: 2404:6800:4007:83f::2003
[2026-06-01 10:02:38.307600] DNS SPOOF DETECTED | Domain: ssl.gstatic.com. | Trusted IP: 172.217.24.195 | Received IP: 142.251.222.195
[2026-06-01 10:02:39.116436] DNS SPOOF DETECTED | Domain: docs.google.com. | Trusted IP: 2404:6800:4007:837::200e | Received IP: 142.250.206.14
[2026-06-01 10:02:39.125763] DNS SPOOF DETECTED | Domain: docs.google.com. | Trusted IP: 2404:6800:4007:837::200e | Received IP: 2404:6800:4007:80c::200e
[2026-06-01 10:02:39.128226] DNS SPOOF DETECTED | Domain: docs.google.com. | Trusted IP: 2404:6800:4007:837::200e | Received IP: 142.250.206.14
[2026-06-01 10:02:39.135808] DNS SPOOF DETECTED | Domain: docs.google.com. | Trusted IP: 2404:6800:4007:837::200e | Received IP: 2404:6800:4007:80c::200e
[2026-06-01 10:02:39.934275] DNS SPOOF DETECTED | Domain: optimizationguide-pa.googleapis.com. | Trusted IP: 2001:4860:4802:36::223 | Received IP: 2001:4860:4802:32::223
[2026-06-01 10:02:39.935389] DNS SPOOF DETECTED | Domain: optimizationguide-pa.googleapis.com. | Trusted IP: 2001:4860:4802:36::223 | Received IP: 2001:4860:4802:32::223
[2026-06-01 10:02:39.943263] DNS SPOOF DETECTED | Domain: optimizationguide-pa.googleapis.com. | Trusted IP: 2001:4860:4802:36::223 | Received IP: 216.239.32.223
[2026-06-01 10:02:39.943619] DNS SPOOF DETECTED | Domain: optimizationguide-pa.googleapis.com. | Trusted IP: 2001:4860:4802:36::223 | Received IP: 216.239.32.223
[2026-06-01 10:02:40.121480] DNS SPOOF DETECTED | Domain: docs.google.com. | Trusted IP: 2404:6800:4007:837::200e | Received IP: 2404:6800:4007:80c::200e
[2026-06-01 10:02:40.127766] DNS SPOOF DETECTED | Domain: docs.google.com. | Trusted IP: 2404:6800:4007:837::200e | Received IP: 142.250.206.14
[2026-06-01 10:02:40.128167] DNS SPOOF DETECTED | Domain: docs.google.com. | Trusted IP: 2404:6800:4007:837::200e | Received IP: 142.250.206.14
[2026-06-01 10:02:40.381245] DNS SPOOF DETECTED | Domain: www.googleadservices.com. | Trusted IP: 142.250.193.162 | Received IP: 64:ff9b::8efb:dea2
[2026-06-01 10:02:40.402300] DNS SPOOF DETECTED | Domain: www.googleadservices.com. | Trusted IP: 142.250.193.162 | Received IP: 64:ff9b::8efb:dea2
[2026-06-01 10:02:40.408197] DNS SPOOF DETECTED | Domain: ogads-pa.clients6.google.com. | Trusted IP: 2404:6800:4007:834::200a | Received IP: 142.251.222.170
[2026-06-01 10:02:40.416808] DNS SPOOF DETECTED | Domain: ogads-pa.clients6.google.com. | Trusted IP: 2404:6800:4007:834::200a | Received IP: 142.251.222.170
[2026-06-01 10:02:40.457924] DNS SPOOF DETECTED | Domain: dns-tunnel-check.googlezip.net. | Trusted IP: 2001:4860:4802:34::9f | Received IP: 216.239.34.159
[2026-06-01 10:02:40.461135] DNS SPOOF DETECTED | Domain: dns-tunnel-check.googlezip.net. | Trusted IP: 2001:4860:4802:34::9f | Received IP: 216.239.34.159
[2026-06-01 10:02:40.469166] DNS SPOOF DETECTED | Domain: tunnel.googlezip.net. | Trusted IP: 2001:4860:4802:34::9d | Received IP: 216.239.34.157
[2026-06-01 10:02:40.473220] DNS SPOOF DETECTED | Domain: tunnel.googlezip.net. | Trusted IP: 2001:4860:4802:34::9d | Received IP: 216.239.34.157
[2026-06-01 10:02:40.856844] DNS SPOOF DETECTED | Domain: ssl.gstatic.com. | Trusted IP: 172.217.24.195 | Received IP: 2404:6800:4007:83f::2003
